team,group,fifa_rank,recent_form_score,goals_for,goals_against,host_advantage
United States,A,16,7.4,18,10,1
Canada,A,31,6.9,14,11,1
Mexico,A,14,7.2,17,9,1
New Zealand,A,103,5.1,9,16,0
Argentina,B,1,9.4,31,8,0
Morocco,B,12,8.0,20,8,0
Japan,B,18,7.8,22,12,0
South Africa,B,59,6.0,11,13,0
France,C,2,9.0,29,10,0
Senegal,C,17,7.6,19,10,0
Australia,C,24,6.8,15,13,0
Jamaica,C,53,5.9,12,16,0
Brazil,D,5,8.6,27,12,0
Switzerland,D,19,7.2,16,11,0
Egypt,D,36,6.7,14,12,0
Panama,D,45,6.1,13,15,0
England,E,4,8.7,25,9,0
Colombia,E,10,8.1,21,11,0
South Korea,E,23,7.0,18,14,0
Qatar,E,58,5.8,11,17,0
Spain,F,3,8.8,28,10,0
Uruguay,F,11,8.2,21,10,0
Serbia,F,32,6.8,16,15,0
Ghana,F,60,5.9,13,18,0
Portugal,G,6,8.5,26,11,0
Croatia,G,13,7.7,18,12,0
Tunisia,G,41,6.3,12,14,0
Honduras,G,78,5.2,10,19,0
Netherlands,H,7,8.4,24,10,0
Denmark,H,21,7.0,17,12,0
Nigeria,H,38,6.6,15,15,0
Saudi Arabia,H,56,5.7,12,18,0
Belgium,I,8,8.0,22,12,0
Ecuador,I,30,6.9,16,13,0
Wales,I,34,6.4,13,14,0
Costa Rica,I,52,5.6,11,17,0
Germany,J,9,8.1,23,13,0
Chile,J,44,6.2,14,16,0
Iran,J,20,6.9,17,15,0
Cameroon,J,49,6.0,13,16,0
Italy,K,15,7.5,19,12,0
Poland,K,28,6.8,16,14,0
Algeria,K,43,6.3,14,15,0
Iraq,K,55,5.8,12,18,0
Austria,L,25,7.0,17,13,0
Norway,L,33,6.7,18,16,0
Peru,L,46,6.0,12,15,0
Uzbekistan,L,57,5.7,11,17,0
