team,group,fifa_rank,recent_form_score,goals_for,goals_against,host_advantage
Argentina,A,1,9.6,2.4,0.7,0
USA,A,16,7.4,1.9,1.1,1
Senegal,A,18,7.6,1.8,1.0,0
New Zealand,A,95,5.5,1.1,1.7,0
France,B,2,9.4,2.5,0.8,0
Mexico,B,15,7.2,1.8,1.2,1
Japan,B,17,7.9,1.9,0.9,0
Ghana,B,61,6.4,1.4,1.5,0
Brazil,C,3,9.3,2.6,0.9,0
Switzerland,C,19,7.5,1.7,1.0,0
Morocco,C,12,8.2,1.8,0.8,0
Jamaica,C,67,6.1,1.3,1.6,0
England,D,4,9.0,2.3,0.8,0
Denmark,D,21,7.3,1.7,1.0,0
Ecuador,D,24,7.4,1.6,1.0,0
China,D,79,5.8,1.2,1.7,0
Spain,E,5,9.1,2.2,0.7,0
Croatia,E,11,8.0,1.8,0.9,0
Egypt,E,34,7.0,1.5,1.1,0
Costa Rica,E,54,6.2,1.2,1.5,0
Portugal,F,6,8.8,2.2,0.8,0
Uruguay,F,13,8.1,1.9,0.9,0
South Korea,F,23,7.2,1.7,1.1,0
Iraq,F,58,6.0,1.2,1.6,0
Germany,G,7,8.7,2.1,0.9,0
Netherlands,G,8,8.6,2.1,0.8,0
Nigeria,G,31,7.1,1.6,1.2,0
Canada,G,30,7.0,1.6,1.3,1
Belgium,H,9,8.4,2.0,1.0,0
Colombia,H,14,8.0,1.8,0.9,0
Serbia,H,32,6.9,1.5,1.2,0
Panama,H,44,6.4,1.3,1.4,0
Italy,I,10,8.3,1.9,0.8,0
Austria,I,25,7.4,1.7,1.0,0
Tunisia,I,41,6.6,1.3,1.2,0
Saudi Arabia,I,53,6.2,1.2,1.5,0
Norway,J,22,7.7,1.8,1.0,0
Turkey,J,27,7.3,1.7,1.1,0
Cameroon,J,43,6.5,1.4,1.3,0
South Africa,J,57,6.1,1.2,1.4,0
Poland,K,28,7.0,1.6,1.1,0
Ukraine,K,26,7.2,1.6,1.0,0
Algeria,K,36,6.8,1.4,1.1,0
Venezuela,K,47,6.3,1.3,1.3,0
Sweden,L,29,7.1,1.6,1.0,0
Iran,L,20,7.5,1.7,0.9,0
Paraguay,L,38,6.7,1.4,1.1,0
Qatar,L,55,6.0,1.2,1.5,0
